nohup: ignoring input
INFO:albumentations.check_version:A new version of Albumentations is available: 1.4.20 (you have 1.4.12). Upgrade using: pip install -U albumentations. To disable automatic update checks, set the environment variable NO_ALBUMENTATIONS_UPDATE to 1.

  0%|          | 0/67 [00:00<?, ?it/s]
[Epoch 1]:   0%|          | 0/67 [00:27<?, ?it/s]
[Epoch 1]:   1%|▏         | 1/67 [00:29<32:45, 29.78s/it]
[Epoch 1]:  61%|██████    | 41/67 [02:12<01:15,  2.91s/it, Cls loss=0.699, Angle loss=0.752, IoU loss=1.32]
[Epoch 1]:  61%|██████    | 41/67 [02:12<01:15,  2.91s/it, Cls loss=0.706, Angle loss=0.498, IoU loss=1.24]
[Epoch 1]:  61%|██████    | 41/67 [02:15<01:15,  2.91s/it, Cls loss=0.706, Angle loss=0.498, IoU loss=1.24]
[Epoch 1]:  63%|██████▎   | 42/67 [02:16<01:18,  3.15s/it, Cls loss=0.706, Angle loss=0.498, IoU loss=1.24]
[Epoch 1]:  63%|██████▎   | 42/67 [02:16<01:18,  3.15s/it, Cls loss=0.67, Angle loss=0.685, IoU loss=1.19] 
[Epoch 1]:  63%|██████▎   | 42/67 [02:16<01:18,  3.15s/it, Cls loss=0.67, Angle loss=0.685, IoU loss=1.19]
[Epoch 1]:  64%|██████▍   | 43/67 [02:17<01:01,  2.55s/it, Cls loss=0.67, Angle loss=0.685, IoU loss=1.19]
[Epoch 1]:  64%|██████▍   | 43/67 [02:17<01:01,  2.55s/it, Cls loss=0.709, Angle loss=0.538, IoU loss=1.45]
[Epoch 1]:  64%|██████▍   | 43/67 [02:17<01:01,  2.55s/it, Cls loss=0.709, Angle loss=0.538, IoU loss=1.45]
[Epoch 1]:  66%|██████▌   | 44/67 [02:18<00:48,  2.11s/it, Cls loss=0.709, Angle loss=0.538, IoU loss=1.45]
[Epoch 1]:  66%|██████▌   | 44/67 [02:18<00:48,  2.11s/it, Cls loss=0.707, Angle loss=0.412, IoU loss=1.23]
[Epoch 1]:  66%|██████▌   | 44/67 [02:18<00:48,  2.11s/it, Cls loss=0.707, Angle loss=0.412, IoU loss=1.23]
[Epoch 1]:  67%|██████▋   | 45/67 [02:19<00:39,  1.81s/it, Cls loss=0.707, Angle loss=0.412, IoU loss=1.23]
[Epoch 1]:  67%|██████▋   | 45/67 [02:19<00:39,  1.81s/it, Cls loss=0.659, Angle loss=0.55, IoU loss=1.22] 
[Epoch 1]:  67%|██████▋   | 45/67 [02:25<00:39,  1.81s/it, Cls loss=0.659, Angle loss=0.55, IoU loss=1.22]
[Epoch 1]:  69%|██████▊   | 46/67 [02:26<01:11,  3.42s/it, Cls loss=0.659, Angle loss=0.55, IoU loss=1.22]
[Epoch 1]:  69%|██████▊   | 46/67 [02:26<01:11,  3.42s/it, Cls loss=0.722, Angle loss=0.681, IoU loss=1.5]
[Epoch 1]:  69%|██████▊   | 46/67 [02:26<01:11,  3.42s/it, Cls loss=0.722, Angle loss=0.681, IoU loss=1.5]
[Epoch 1]:  70%|███████   | 47/67 [02:27<00:54,  2.75s/it, Cls loss=0.722, Angle loss=0.681, IoU loss=1.5]
[Epoch 1]:  70%|███████   | 47/67 [02:27<00:54,  2.75s/it, Cls loss=0.769, Angle loss=0.341, IoU loss=1.67]
[Epoch 1]:  70%|███████   | 47/67 [02:35<00:54,  2.75s/it, Cls loss=0.769, Angle loss=0.341, IoU loss=1.67]
[Epoch 1]:  72%|███████▏  | 48/67 [02:36<01:24,  4.45s/it, Cls loss=0.769, Angle loss=0.341, IoU loss=1.67]
[Epoch 1]:  72%|███████▏  | 48/67 [02:36<01:24,  4.45s/it, Cls loss=0.688, Angle loss=0.501, IoU loss=1.29]
[Epoch 1]:  72%|███████▏  | 48/67 [02:36<01:24,  4.45s/it, Cls loss=0.688, Angle loss=0.501, IoU loss=1.29]
[Epoch 1]:  73%|███████▎  | 49/67 [02:37<01:02,  3.47s/it, Cls loss=0.688, Angle loss=0.501, IoU loss=1.29]
[Epoch 1]:  73%|███████▎  | 49/67 [02:37<01:02,  3.47s/it, Cls loss=0.622, Angle loss=0.0861, IoU loss=1.18]
[Epoch 1]:  73%|███████▎  | 49/67 [02:37<01:02,  3.47s/it, Cls loss=0.622, Angle loss=0.0861, IoU loss=1.18]
[Epoch 1]:  75%|███████▍  | 50/67 [02:38<00:46,  2.76s/it, Cls loss=0.622, Angle loss=0.0861, IoU loss=1.18]
[Epoch 1]:  75%|███████▍  | 50/67 [02:38<00:46,  2.76s/it, Cls loss=0.644, Angle loss=0.287, IoU loss=1.1]  
[Epoch 1]:  75%|███████▍  | 50/67 [02:39<00:46,  2.76s/it, Cls loss=0.644, Angle loss=0.287, IoU loss=1.1]
[Epoch 1]:  76%|███████▌  | 51/67 [02:40<00:40,  2.53s/it, Cls loss=0.644, Angle loss=0.287, IoU loss=1.1]
[Epoch 1]:  76%|███████▌  | 51/67 [02:40<00:40,  2.53s/it, Cls loss=0.666, Angle loss=0.497, IoU loss=1.18]
